ID,app_status
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,1
577,0
578,1
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,1
